Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
15-01-2024,09:00,15-01-2024,,,Storting,,EUR,25000,EUR,25000,
22-01-2024,10:30,22-01-2024,iShares Core MSCI World,IE00B4L5Y983,Koop,,EUR,-15075,EUR,9925,
22-01-2024,10:31,22-01-2024,Vanguard FTSE Developed World,IE00BKX55T58,Koop,,EUR,-5020,EUR,4905,
22-01-2024,10:32,22-01-2024,iShares Core Euro Government Bond,IE00B4WXJJ64,Koop,,EUR,-3015,EUR,1890,
01-04-2024,09:00,01-04-2024,,,Storting,,EUR,10000,EUR,11890,
08-04-2024,11:00,08-04-2024,iShares Core MSCI World,IE00B4L5Y983,Koop,,EUR,-6040,EUR,5850,
08-04-2024,11:01,08-04-2024,Vanguard FTSE Developed World,IE00BKX55T58,Koop,,EUR,-2015,EUR,3835,
08-04-2024,11:02,08-04-2024,iShares Core Euro Government Bond,IE00B4WXJJ64,Koop,,EUR,-1510,EUR,2325,
01-07-2024,09:00,01-07-2024,,,Storting,,EUR,10000,EUR,12325,
08-07-2024,10:00,08-07-2024,iShares Core MSCI World,IE00B4L5Y983,Koop,,EUR,-6080,EUR,6245,
08-07-2024,10:01,08-07-2024,Vanguard FTSE Developed World,IE00BKX55T58,Koop,,EUR,-2030,EUR,4215,
08-07-2024,10:02,08-07-2024,iShares Core Euro Government Bond,IE00B4WXJJ64,Koop,,EUR,-1520,EUR,2695,
01-10-2024,09:00,01-10-2024,,,Storting,,EUR,10000,EUR,12695,
07-10-2024,10:30,07-10-2024,iShares Core MSCI World,IE00B4L5Y983,Koop,,EUR,-6100,EUR,6595,
07-10-2024,10:31,07-10-2024,Vanguard FTSE Developed World,IE00BKX55T58,Koop,,EUR,-2045,EUR,4550,
07-10-2024,10:32,07-10-2024,iShares Core Euro Government Bond,IE00B4WXJJ64,Koop,,EUR,-1530,EUR,3020,
