Datum,Tijd,Product,ISIN,Beurs,Uitvoeringsplaats,Aantal,Koers,,Lokale waarde,,Waarde in EUR,,Wisselkoers,AutoFX kosten,Transactiekosten,Totaal,,Order Id
22-01-2024,10:30,iShares Core MSCI World,IE00B4L5Y983,AMS,XAMS,18,EUR,835,EUR,-15030,EUR,-15030,,,-45,-15075,,pord-001
22-01-2024,10:31,Vanguard FTSE Developed World,IE00BKX55T58,AMS,XAMS,20,EUR,249,EUR,-4980,EUR,-4980,,,-40,-5020,,pord-002
22-01-2024,10:32,iShares Core Euro Government Bond,IE00B4WXJJ64,AMS,XAMS,30,EUR,100,EUR,-3000,EUR,-3000,,,-15,-3015,,pord-003
08-04-2024,11:00,iShares Core MSCI World,IE00B4L5Y983,AMS,XAMS,6,EUR,1000,EUR,-6000,EUR,-6000,,,-40,-6040,,pord-004
08-04-2024,11:01,Vanguard FTSE Developed World,IE00BKX55T58,AMS,XAMS,8,EUR,249,EUR,-1992,EUR,-1992,,,-23,-2015,,pord-005
08-04-2024,11:02,iShares Core Euro Government Bond,IE00B4WXJJ64,AMS,XAMS,15,EUR,100,EUR,-1500,EUR,-1500,,,-10,-1510,,pord-006
08-07-2024,10:00,iShares Core MSCI World,IE00B4L5Y983,AMS,XAMS,6,EUR,1008,EUR,-6048,EUR,-6048,,,-32,-6080,,pord-007
08-07-2024,10:01,Vanguard FTSE Developed World,IE00BKX55T58,AMS,XAMS,8,EUR,251,EUR,-2008,EUR,-2008,,,-22,-2030,,pord-008
08-07-2024,10:02,iShares Core Euro Government Bond,IE00B4WXJJ64,AMS,XAMS,15,EUR,101,EUR,-1515,EUR,-1515,,,-5,-1520,,pord-009
07-10-2024,10:30,iShares Core MSCI World,IE00B4L5Y983,AMS,XAMS,6,EUR,1010,EUR,-6060,EUR,-6060,,,-40,-6100,,pord-010
07-10-2024,10:31,Vanguard FTSE Developed World,IE00BKX55T58,AMS,XAMS,8,EUR,253,EUR,-2024,EUR,-2024,,,-21,-2045,,pord-011
07-10-2024,10:32,iShares Core Euro Government Bond,IE00B4WXJJ64,AMS,XAMS,15,EUR,102,EUR,-1530,EUR,-1530,,,-0,-1530,,pord-012
